# doi<TAB>track (C=circuits, T=technology/devices, U=ambiguous; U is counted). Labeled by LLM from titles.
10.1109/vlsitechnologyandcir46769.2022.9830286	C
10.1109/vlsitechnologyandcir46769.2022.9830335	C
10.1109/vlsitechnologyandcir46769.2022.9830293	C
10.1109/vlsitechnologyandcir46769.2022.9830446	C
10.1109/vlsitechnologyandcir46769.2022.9830147	C
10.1109/vlsitechnologyandcir46769.2022.9830438	C
10.1109/vlsitechnologyandcir46769.2022.9830436	C
10.1109/vlsitechnologyandcir46769.2022.9830294	T
10.1109/vlsitechnologyandcir46769.2022.9830184	T
10.1109/vlsitechnologyandcir46769.2022.9830449	T
10.1109/vlsitechnologyandcir46769.2022.9830159	C
10.1109/vlsitechnologyandcir46769.2022.9830148	C
10.1109/vlsitechnologyandcir46769.2022.9830498	T
10.1109/vlsitechnologyandcir46769.2022.9830465	T
10.1109/vlsitechnologyandcir46769.2022.9830400	T
10.1109/vlsitechnologyandcir46769.2022.9830265	U
10.1109/vlsitechnologyandcir46769.2022.9830432	T
10.1109/vlsitechnologyandcir46769.2022.9830202	C
10.1109/vlsitechnologyandcir46769.2022.9830391	C
10.1109/vlsitechnologyandcir46769.2022.9830149	T
10.1109/vlsitechnologyandcir46769.2022.9830456	C
10.1109/vlsitechnologyandcir46769.2022.9830355	C
10.1109/vlsitechnologyandcir46769.2022.9830413	T
10.1109/vlsitechnologyandcir46769.2022.9830464	C
10.1109/vlsitechnologyandcir46769.2022.9830489	C
10.1109/vlsitechnologyandcir46769.2022.9830239	C
10.1109/vlsitechnologyandcir46769.2022.9830494	C
10.1109/vlsitechnologyandcir46769.2022.9830487	C
10.1109/vlsitechnologyandcir46769.2022.9830333	T
10.1109/vlsitechnologyandcir46769.2022.9830164	T
10.1109/vlsitechnologyandcir46769.2022.9830350	C
10.1109/vlsitechnologyandcir46769.2022.9830285	T
10.1109/vlsitechnologyandcir46769.2022.9830340	C
10.1109/vlsitechnologyandcir46769.2022.9830469	C
10.1109/vlsitechnologyandcir46769.2022.9830440	T
10.1109/vlsitechnologyandcir46769.2022.9830398	C
10.1109/vlsitechnologyandcir46769.2022.9830396	C
10.1109/vlsitechnologyandcir46769.2022.9830235	C
10.1109/vlsitechnologyandcir46769.2022.9830373	C
10.1109/vlsitechnologyandcir46769.2022.9830524	C
10.1109/vlsitechnologyandcir46769.2022.9830418	C
10.1109/vlsitechnologyandcir46769.2022.9830291	T
10.1109/vlsitechnologyandcir46769.2022.9830420	C
10.1109/vlsitechnologyandcir46769.2022.9830146	T
10.1109/vlsitechnologyandcir46769.2022.9830365	C
10.1109/vlsitechnologyandcir46769.2022.9830447	T
10.1109/vlsitechnologyandcir46769.2022.9830445	T
10.1109/vlsitechnologyandcir46769.2022.9830316	T
10.1109/vlsitechnologyandcir46769.2022.9830206	C
10.1109/vlsitechnologyandcir46769.2022.9830504	T
10.1109/vlsitechnologyandcir46769.2022.9830266	C
10.1109/vlsitechnologyandcir46769.2022.9830311	T
10.1109/vlsitechnologyandcir46769.2022.9830181	C
10.1109/vlsitechnologyandcir46769.2022.9830442	C
10.1109/vlsitechnologyandcir46769.2022.9830178	C
10.1109/vlsitechnologyandcir46769.2022.9830177	T
10.1109/vlsitechnologyandcir46769.2022.9830276	C
10.1109/vlsitechnologyandcir46769.2022.9830411	T
10.1109/vlsitechnologyandcir46769.2022.9830518	C
10.1109/vlsitechnologyandcir46769.2022.9830492	T
10.1109/vlsitechnologyandcir46769.2022.9830275	C
10.1109/vlsitechnologyandcir46769.2022.9830483	T
10.1109/vlsitechnologyandcir46769.2022.9830481	T
10.1109/vlsitechnologyandcir46769.2022.9830428	T
10.1109/vlsitechnologyandcir46769.2022.9830476	T
10.1109/vlsitechnologyandcir46769.2022.9830309	C
10.1109/vlsitechnologyandcir46769.2022.9830306	T
10.1109/vlsitechnologyandcir46769.2022.9830172	T
10.1109/vlsitechnologyandcir46769.2022.9830211	C
10.1109/vlsitechnologyandcir46769.2022.9830156	T
10.1109/vlsitechnologyandcir46769.2022.9830388	T
10.1109/vlsitechnologyandcir46769.2022.9830419	C
